* Measurement data measured by REW V5.20.14
* Source: Trace Arithmetic result Excess phase
* Format: Trace Arithmetic result Excess phase
* Dated: 20/06/2023 5:36:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of L+R Jun 15 Cal file effects included No LF tail No HF tail
* Measurement: L+R Jun 15-EP
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 21.240234 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
21.240234 0.010 380.8147
21.394150 0.010 380.7928
21.549181 0.010 380.7603
21.705336 0.010 380.7148
21.862621 0.010 380.6547
22.021048 0.010 380.5801
22.180622 0.010 380.4929
22.341352 0.010 380.3969
22.503246 0.010 380.2973
22.666313 0.010 380.2007
22.830563 0.010 380.1136
22.996002 0.010 380.0425
23.162642 0.010 379.9926
23.330488 0.010 379.9677
23.499550 0.010 379.9696
23.669838 0.010 379.9979
23.841360 0.010 380.0503
24.014124 0.010 380.1226
24.188141 0.010 380.2093
24.363419 0.010 380.3040
24.539967 0.010 380.3998
24.717793 0.010 380.4906
24.896908 0.010 380.5710
25.077322 0.010 380.6377
25.259043 0.010 380.6891
25.442080 0.010 380.7263
25.626444 0.010 380.7522
25.812143 0.010 380.7719
25.999189 0.010 380.7915
26.187590 0.010 380.8173
26.377356 0.010 380.8549
26.568497 0.010 380.9080
26.761023 0.010 380.9778
26.954945 0.010 381.0625
27.150270 0.010 381.1573
27.347012 0.010 381.2550
27.545179 0.010 381.3471
27.744783 0.010 381.4249
27.945833 0.010 381.4810
28.148340 0.010 381.5104
28.352314 0.010 381.5106
28.557766 0.010 381.4825
28.764708 0.010 381.4289
28.973148 0.010 381.3548
29.183100 0.010 381.2657
29.394573 0.010 381.1669
29.607578 0.010 381.0631
29.822126 0.010 380.9581
30.038229 0.010 380.8546
30.255898 0.010 380.7544
30.475143 0.010 380.6589
30.695978 0.010 380.5690
30.918413 0.010 380.4854
31.142460 0.010 380.4082
31.368132 0.010 380.3366
31.595438 0.010 380.2693
31.824392 0.010 380.2039
32.055004 0.010 380.1375
32.287289 0.010 380.0667
32.521255 0.010 379.9890
32.756916 0.010 379.9023
32.994286 0.010 379.8059
33.233376 0.010 379.7005
33.474197 0.010 379.5876
33.716766 0.010 379.4695
33.961090 0.010 379.3491
34.207188 0.010 379.2285
34.455067 0.010 379.1102
34.704742 0.010 378.9962
34.956226 0.010 378.8881
35.209534 0.010 378.7878
35.464676 0.010 378.6966
35.721668 0.010 378.6158
35.980522 0.010 378.5459
36.241253 0.010 378.4870
36.503872 0.010 378.4384
36.768394 0.010 378.3984
37.034832 0.010 378.3650
37.303200 0.010 378.3357
37.573513 0.010 378.3078
37.845787 0.010 378.2785
38.120033 0.010 378.2452
38.396267 0.010 378.2055
38.674503 0.010 378.1575
38.954754 0.010 378.1000
39.237038 0.010 378.0324
39.521366 0.010 377.9547
39.807755 0.010 377.8674
40.096218 0.010 377.7714
40.386772 0.010 377.6675
40.679432 0.010 377.5564
40.974213 0.010 377.4389
41.271130 0.010 377.3157
41.570198 0.010 377.1879
41.871433 0.010 377.0574
42.174850 0.010 376.9265
42.480465 0.010 376.7984
42.788296 0.010 376.6762
43.098358 0.010 376.5630
43.410667 0.010 376.4613
43.725239 0.010 376.3723
44.042091 0.010 376.2962
44.361240 0.010 376.2313
44.682701 0.010 376.1750
45.006489 0.010 376.1238
45.332623 0.010 376.0737
45.661121 0.010 376.0210
45.992001 0.010 375.9626
46.325279 0.010 375.8972
46.660973 0.010 375.8244
46.999096 0.010 375.7457
47.339672 0.010 375.6635
47.682716 0.010 375.5809
48.028244 0.010 375.5013
48.376278 0.010 375.4274
48.726833 0.010 375.3611
49.079929 0.010 375.3027
49.435581 0.010 375.2513
49.793812 0.010 375.2047
50.154636 0.010 375.1599
50.518078 0.010 375.1140
50.884151 0.010 375.0647
51.252880 0.010 375.0111
51.624279 0.010 374.9532
51.998371 0.010 374.8924
52.375172 0.010 374.8303
52.754704 0.010 374.7686
53.136986 0.010 374.7087
53.522038 0.010 374.6511
53.909882 0.010 374.5960
54.300533 0.010 374.5435
54.694016 0.010 374.4931
55.090351 0.010 374.4447
55.489559 0.010 374.3977
55.891659 0.010 374.3515
56.296673 0.010 374.3056
56.704620 0.010 374.2595
57.115524 0.010 374.2126
57.529408 0.010 374.1643
57.946289 0.010 374.1139
58.366192 0.010 374.0603
58.789139 0.010 374.0024
59.215149 0.010 373.9388
59.644245 0.010 373.8687
60.076450 0.010 373.7911
60.511787 0.010 373.7060
60.950279 0.010 373.6135
61.391949 0.010 373.5140
61.836819 0.010 373.4084
62.284912 0.010 373.2974
62.736256 0.010 373.1824
63.190868 0.010 373.0650
63.648777 0.010 372.9474
64.110001 0.010 372.8318
64.574570 0.010 372.7200
65.042503 0.010 372.6133
65.513824 0.010 372.5116
65.988564 0.010 372.4141
66.466743 0.010 372.3197
66.948387 0.010 372.2276
67.433525 0.010 372.1376
67.922173 0.010 372.0502
68.414368 0.010 371.9665
68.910126 0.010 371.8873
69.409477 0.010 371.8130
69.912445 0.010 371.7430
70.419060 0.010 371.6760
70.929344 0.010 371.6101
71.443329 0.010 371.5434
71.961037 0.010 371.4743
72.482498 0.010 371.4016
73.007736 0.010 371.3248
73.536781 0.010 371.2443
74.069656 0.010 371.1611
74.606392 0.010 371.0769
75.147018 0.010 370.9936
75.691566 0.010 370.9126
76.240059 0.010 370.8349
76.792526 0.010 370.7611
77.348999 0.010 370.6915
77.909500 0.010 370.6261
78.474068 0.010 370.5640
79.042725 0.010 370.5041
79.615501 0.010 370.4447
80.192429 0.010 370.3841
80.773537 0.010 370.3212
81.358856 0.010 370.2555
81.948418 0.010 370.1869
82.542252 0.010 370.1159
83.140388 0.010 370.0434
83.742859 0.010 369.9703
84.349693 0.010 369.8976
84.960922 0.010 369.8260
85.576584 0.010 369.7560
86.196709 0.010 369.6879
86.821327 0.010 369.6215
87.450470 0.010 369.5567
88.084175 0.010 369.4931
88.722473 0.010 369.4306
89.365395 0.010 369.3687
90.012970 0.010 369.3076
90.665237 0.010 369.2469
91.322235 0.010 369.1868
91.983994 0.010 369.1272
92.650551 0.010 369.0682
93.321938 0.010 369.0103
93.998184 0.010 368.9539
94.679337 0.010 368.8997
95.365425 0.010 368.8479
96.056480 0.010 368.7990
96.752548 0.010 368.7531
97.453659 0.010 368.7098
98.159851 0.010 368.6688
98.871155 0.010 368.6294
99.587616 0.010 368.5911
100.309265 0.010 368.5536
101.036148 0.010 368.5173
101.768295 0.010 368.4824
102.505753 0.010 368.4493
103.248550 0.010 368.4178
103.996735 0.010 368.3876
104.750336 0.010 368.3579
105.509399 0.010 368.3282
106.273964 0.010 368.2979
107.044067 0.010 368.2667
107.819756 0.010 368.2343
108.601059 0.010 368.2008
109.388023 0.010 368.1662
110.180695 0.010 368.1303
110.979111 0.010 368.0932
111.783310 0.010 368.0547
112.593338 0.010 368.0149
113.409233 0.010 367.9741
114.231041 0.010 367.9327
115.058807 0.010 367.8917
115.892570 0.010 367.8516
116.732376 0.010 367.8133
117.578270 0.010 367.7771
118.430290 0.010 367.7430
119.288483 0.010 367.7106
120.152893 0.010 367.6792
121.023567 0.010 367.6482
121.900551 0.010 367.6168
122.783890 0.010 367.5847
123.673630 0.010 367.5516
124.569817 0.010 367.5174
125.472504 0.010 367.4818
126.381729 0.010 367.4446
127.297546 0.010 367.4057
128.220001 0.010 367.3653
129.149139 0.010 367.3238
130.085007 0.010 367.2819
131.027649 0.010 367.2404
131.977127 0.010 367.2005
132.933487 0.010 367.1630
133.896774 0.010 367.1283
134.867050 0.010 367.0965
135.844345 0.010 367.0667
136.828735 0.010 367.0381
137.820251 0.010 367.0091
138.818954 0.010 366.9786
139.824890 0.010 366.9457
140.838120 0.010 366.9098
141.858688 0.010 366.8704
142.886658 0.010 366.8273
143.922073 0.010 366.7804
144.964996 0.010 366.7297
146.015472 0.010 366.6754
147.073563 0.010 366.6181
148.139313 0.010 366.5581
149.212784 0.010 366.4961
150.294037 0.010 366.4324
151.383133 0.010 366.3672
152.480118 0.010 366.3007
153.585052 0.010 366.2325
154.697998 0.010 366.1625
155.819000 0.010 366.0906
156.948135 0.010 366.0166
158.085449 0.010 365.9407
159.231003 0.010 365.8628
160.384857 0.010 365.7826
161.547073 0.010 365.6998
162.717712 0.010 365.6139
163.896835 0.010 365.5244
165.084503 0.010 365.4310
166.280777 0.010 365.3335
167.485718 0.010 365.2318
168.699387 0.010 365.1259
169.921844 0.010 365.0158
171.153168 0.010 364.9015
172.393417 0.010 364.7830
173.642654 0.010 364.6604
174.900940 0.010 364.5337
176.168350 0.010 364.4030
177.444946 0.010 364.2681
178.730789 0.010 364.1289
180.025940 0.010 363.9858
181.330475 0.010 363.8391
182.644470 0.010 363.6897
183.967987 0.010 363.5384
185.301102 0.010 363.3863
186.643875 0.010 363.2343
187.996368 0.010 363.0831
189.358673 0.010 362.9332
190.730850 0.010 362.7852
192.112961 0.010 362.6393
193.505096 0.010 362.4962
194.907318 0.010 362.3564
196.319702 0.010 362.2206
197.742310 0.010 362.0889
199.175232 0.010 361.9618
200.618530 0.010 361.8391
202.072296 0.010 361.7212
203.536591 0.010 361.6082
205.011505 0.010 361.5001
206.497101 0.010 361.3968
207.993469 0.010 361.2975
209.500671 0.010 361.2014
211.018799 0.010 361.1071
212.547928 0.010 361.0139
214.088135 0.010 360.9207
215.639511 0.010 360.8271
217.202118 0.010 360.7330
218.776047 0.010 360.6384
220.361389 0.010 360.5438
221.958221 0.010 360.4499
223.566620 0.010 360.3574
225.186676 0.010 360.2669
226.818466 0.010 360.1790
228.462082 0.010 360.0938
230.117615 0.010 360.0112
231.785141 0.010 359.9311
233.464752 0.010 359.8534
235.156540 0.010 359.7779
236.860580 0.010 359.7045
238.576965 0.010 359.6333
240.305786 0.010 359.5641
242.047134 0.010 359.4969
243.801102 0.010 359.4315
245.567780 0.010 359.3680
247.347260 0.010 359.3063
249.139633 0.010 359.2467
250.945007 0.010 359.1899
252.763458 0.010 359.1368
254.595093 0.010 359.0881
256.440002 0.010 359.0449
258.298279 0.010 359.0076
260.170013 0.010 358.9769
262.055298 0.010 358.9533
263.954254 0.010 358.9371
265.866974 0.010 358.9290
267.793549 0.010 358.9293
269.734100 0.010 358.9383
271.688690 0.010 358.9561
273.657471 0.010 358.9827
275.640503 0.010 359.0177
277.637909 0.010 359.0603
279.649780 0.010 359.1095
281.676239 0.010 359.1638
283.717377 0.010 359.2215
285.773315 0.010 359.2806
287.844147 0.010 359.3388
289.929993 0.010 359.3932
292.030945 0.010 359.4403
294.147125 0.010 359.4761
296.278625 0.010 359.4956
298.425568 0.010 359.4929
300.588074 0.010 359.4617
302.766266 0.010 359.3951
304.960236 0.010 359.2860
307.170105 0.010 359.1274
309.395996 0.010 358.9121
311.638000 0.010 358.6328
313.896271 0.010 358.2826
316.170898 0.010 357.8543
318.462006 0.010 357.3410
320.769714 0.010 356.7361
323.094147 0.010 356.0338
325.435425 0.010 355.2286
327.793671 0.010 354.3161
330.169006 0.010 353.2931
332.561554 0.010 352.1570
334.971436 0.010 350.9069
337.398773 0.010 349.5429
339.843689 0.010 348.0667
342.306335 0.010 346.4811
344.786835 0.010 344.7909
347.285309 0.010 343.0020
349.801880 0.010 341.1217
352.336700 0.010 339.1586
354.889893 0.010 337.1222
357.461578 0.010 335.0226
360.051880 0.010 332.8708
362.660950 0.010 330.6778
365.288940 0.010 328.4549
367.935974 0.010 326.2133
370.602203 0.010 323.9640
373.287750 0.010 321.7169
375.992737 0.010 319.4819
378.717346 0.010 317.2673
381.461700 0.010 315.0809
384.225922 0.010 312.9292
387.010193 0.010 310.8177
389.814636 0.010 308.7507
392.639404 0.010 306.7315
395.484619 0.010 304.7623
398.350464 0.010 302.8445
401.237061 0.010 300.9788
404.144592 0.010 299.1651
407.073181 0.010 297.4029
410.023010 0.010 295.6915
412.994202 0.010 294.0295
415.986938 0.010 292.4155
419.001343 0.010 290.8476
422.037598 0.010 289.3237
425.095856 0.010 287.8416
428.176270 0.010 286.3989
431.279022 0.010 284.9933
434.404236 0.010 283.6227
